"image","nameCZ","Creation Date","Modified Date","Slug","unique id"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762251201081x982821145986771500/ChatGPT%20Image%204.%2011.%202025%2011_13_10.png","Speciální styly","Nov 4, 2025 10:07 am","Nov 4, 2025 11:13 am","","1762247246834x298829428110036760"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762248954325x799274351671395000/ChatGPT%20Image%204.%2011.%202025%2010_28_40.png","Polotmavé ležáky","Nov 4, 2025 10:07 am","Nov 4, 2025 10:35 am","","1762247246835x955376466582256100"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762249129493x542491400700948700/ChatGPT%20Image%204.%2011.%202025%2010_38_04.png","IPA / Pale Ale","Nov 4, 2025 10:07 am","Nov 4, 2025 10:38 am","","1762247246965x178157255029485660"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762249181900x987094611266523500/ChatGPT%20Image%204.%2011.%202025%2010_39_01.png","Tmavší Ale","Nov 4, 2025 10:07 am","Nov 4, 2025 10:39 am","","1762247247082x770706195758819100"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762249348817x627562534163747600/ChatGPT%20Image%204.%2011.%202025%2010_41_58.png","Silná speciální piva","Nov 4, 2025 10:07 am","Nov 4, 2025 10:42 am","","1762247247173x879843791655307900"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762250736960x600780455625108000/ChatGPT%20Image%204.%2011.%202025%2011_05_13.png","Stout / Porter","Nov 4, 2025 10:07 am","Nov 4, 2025 11:05 am","","1762247247189x712139975628067600"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762250966258x383253256031870460/ChatGPT%20Image%204.%2011.%202025%2011_08_56.png","Kyselá / speciální piva","Nov 4, 2025 10:07 am","Nov 4, 2025 11:09 am","","1762247247229x979493600476747100"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762250395074x175693331587205340/ChatGPT%20Image%204.%2011.%202025%2010_59_21.png","Belgická piva","Nov 4, 2025 10:07 am","Nov 4, 2025 10:59 am","","1762247247607x933101543201686700"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762249028234x912432691264941800/ChatGPT%20Image%204.%2011.%202025%2010_36_19.png","Tmavé ležáky","Nov 4, 2025 10:07 am","Nov 4, 2025 10:37 am","","1762247247862x328697450978510340"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762248787355x933214206062733000/ChatGPT%20Image%204.%2011.%202025%2010_27_11.png","Světlé ležáky","Nov 4, 2025 10:07 am","Nov 4, 2025 10:33 am","","1762247247923x353743507422642050"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762249407939x445166846298398200/ChatGPT%20Image%204.%2011.%202025%2010_42_39.png","Svrchně kvašené Ale","Nov 4, 2025 10:07 am","Nov 4, 2025 10:43 am","","1762247247964x798571645241630100"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762249879840x504205730346634750/ChatGPT%20Image%204.%2011.%202025%2010_27_11.png","Ostatní ležáky","Nov 4, 2025 10:07 am","Nov 4, 2025 10:51 am","","1762247247983x442367716106163200"
"//30f06f60a3073865bfc6d29bf0dab977.cdn.bubble.io/f1762249078094x685196007318015900/ChatGPT%20Image%204.%2011.%202025%2010_37_25.png","Pšeničná piva","Nov 4, 2025 10:07 am","Nov 4, 2025 10:38 am","","1762247248172x104894228611753800"
